date,planned_units,units_produced,good_units,scrap_units,downtime_minutes,total_inventory_variance,yield_percent,defect_rate,quality_status,throughput,yield_calc,waste_percent,availability,performance,quality,oee
2025-01-01,12067,9744,9450,295.1,487.8,84,93.65,3.44,Pass,9744,96.98,3.03,0.66125,0.8074915057595095,0.9698275862068966,51.78
2025-01-02,11662,9814,9490,322.0,431.9,236,93.32,1.36,Pass,9814,96.7,3.28,0.7000694444444444,0.8415366146458584,0.966985938455268,56.97
2025-01-03,11614,8989,8693,292.6,555.6,56,91.76,2.86,Pass,8989,96.71,3.26,0.6141666666666666,0.7739796796969175,0.9670708643898097,45.97
2025-01-04,11917,10053,9740,313.3,434.70000000000005,-180,90.92,4.21,Pass,10053,96.89,3.12,0.698125,0.8435847948309139,0.9688650154182831,57.06
2025-01-05,11794,9730,9415,316.0,489.4,30,97.48,4.34,Review,9730,96.76,3.25,0.6601388888888889,0.824995760556215,0.9676258992805755,52.7
2025-01-06,12676,10935,10641,295.59999999999997,378.7,207,91.46,2.46,Pass,10935,97.31,2.7,0.7370138888888889,0.8626538340170401,0.9731138545953361,61.87
2025-01-07,12144,10280,10010,270.9,403.1,40,94.89,3.5,Pass,10280,97.37,2.64,0.7200694444444445,0.8465085638998683,0.9737354085603113,59.35
2025-01-08,12422,10746,10459,287.4,376.3,148,91.35,2.29,Pass,10746,97.33,2.67,0.7386805555555556,0.8650780872645307,0.9732923878652522,62.19
2025-01-09,11639,9932,9634,296.7,385.6,62,90.4,2.07,Pass,9932,97.0,2.99,0.7322222222222223,0.8533379156284904,0.9699959726137737,60.61
2025-01-10,11381,9501,9179,321.7,396.8,-134,91.5,3.61,Pass,9501,96.61,3.39,0.7244444444444444,0.83481240664265,0.9661088306494053,58.43
2025-01-11,11625,10098,9771,327.5,357.0,51,97.44,4.35,Hold,10098,96.76,3.24,0.7520833333333333,0.8686451612903225,0.9676173499702911,63.21
2025-01-12,11526,9654,9309,345.0,440.70000000000005,17,94.87,2.78,Review,9654,96.43,3.57,0.6939583333333333,0.8375845913586674,0.9642635177128651,56.05
2025-01-13,11435,9721,9440,281.2,423.3,223,92.14,4.72,Pass,9721,97.11,2.89,0.7060416666666667,0.8501093135111499,0.9710935088982615,58.29
2025-01-14,11696,10002,9684,318.1,412.8,-175,94.03,3.84,Pass,10002,96.82,3.18,0.7133333333333334,0.8551641586867305,0.9682063587282543,59.06
2025-01-15,12051,10113,9812,300.7,418.7,205,93.37,2.64,Pass,10113,97.02,2.97,0.7092361111111111,0.8391834702514314,0.9702363294769109,57.75
2025-01-16,12225,10575,10333,241.89999999999998,384.4,-33,97.99,4.56,Pass,10575,97.71,2.29,0.7330555555555555,0.8650306748466258,0.9771158392434988,61.96
2025-01-17,12458,10045,9709,339.5,480.2,-60,95.96,1.85,Pass,10045,96.66,3.38,0.6665277777777777,0.806309198908332,0.9665505226480836,51.95
2025-01-18,11991,10149,9871,275.7,422.3,-135,96.29,1.07,Pass,10149,97.26,2.72,0.7067361111111111,0.8463847885914436,0.9726081387328801,58.18
2025-01-19,12393,11036,10763,272.5,345.5,80,97.5,2.51,Pass,11036,97.53,2.47,0.7600694444444445,0.8905027031388687,0.9752627763682493,66.01
2025-01-20,11775,9682,9363,320.3,459.9,-46,90.23,4.31,Pass,9682,96.71,3.31,0.680625,0.8222505307855626,0.9670522619293535,54.12
2025-01-21,12098,10477,10144,333.3,355.6,26,94.76,1.36,Pass,10477,96.82,3.18,0.7530555555555556,0.8660109108943627,0.9682160923928606,63.14
2025-01-22,12123,10079,9816,264.1,408.5,-10,95.42,3.09,Pass,10079,97.39,2.62,0.7163194444444444,0.8313948692567846,0.9739061414822899,58.0
2025-01-23,12175,9512,9210,302.0,486.5,-100,93.36,4.86,Pass,9512,96.83,3.17,0.6621527777777778,0.7812731006160164,0.9682506307821699,50.09
2025-01-24,12311,9655,9371,284.0,491.5,-35,92.45,4.71,Pass,9655,97.06,2.94,0.6586805555555556,0.7842579806676956,0.9705851890212325,50.14
2025-01-25,11712,9867,9552,316.2,386.9,55,95.46,3.8,Pass,9867,96.81,3.2,0.7313194444444444,0.842469262295082,0.9680754028580115,59.64
2025-01-26,12231,10303,10008,297.5,460.29999999999995,-72,91.26,4.06,Pass,10303,97.14,2.89,0.6803472222222222,0.8423677540675333,0.9713675628457731,55.67
2025-01-27,11536,9104,8791,313.8,539.2,-10,92.99,1.86,Pass,9104,96.56,3.45,0.6255555555555555,0.7891816920943134,0.9656195079086116,47.67
2025-01-28,12701,11223,10904,318.9,341.59999999999997,71,90.64,2.72,Pass,11223,97.16,2.84,0.7627777777777779,0.8836312101409338,0.9715762273901809,65.49
2025-01-29,12255,9919,9579,337.5,531.1,25,94.65,4.78,Pass,9919,96.57,3.4,0.6311805555555555,0.8093839249286006,0.9657223510434519,49.34
2025-01-30,12022,9588,9252,337.2,485.09999999999997,61,94.94,2.62,Pass,9588,96.5,3.52,0.6631250000000001,0.7975378472799867,0.9649561952440551,51.03
2025-01-31,12520,10442,10120,321.8,442.6,25,93.59,2.02,Pass,10442,96.92,3.08,0.6926388888888889,0.8340255591054313,0.9691629955947136,55.99
2025-02-01,11125,8846,8540,305.0,505.3,88,94.44,4.62,Pass,8846,96.54,3.45,0.6490972222222222,0.7951460674157304,0.9654080940538097,49.83
2025-02-02,12056,9968,9611,354.7,425.3,96,91.34,2.63,Pass,9968,96.42,3.56,0.7046527777777778,0.8268082282680823,0.964185393258427,56.17
2025-02-03,12245,9976,9668,309.3,471.3,-69,97.19,3.5,Pass,9976,96.91,3.1,0.6727083333333334,0.8146998775010208,0.9691259021651965,53.11
2025-02-04,11697,9634,9376,259.0,405.0,-47,90.82,1.25,Pass,9634,97.32,2.69,0.71875,0.8236299905958793,0.9732198463774133,57.61
2025-02-05,11876,9977,9708,268.6,419.8,-185,92.16,2.6,Review,9977,97.3,2.69,0.7084722222222223,0.8400976759851801,0.9730379873709532,57.91
2025-02-06,12163,10192,9880,311.0,426.4,89,92.73,4.12,Pass,10192,96.94,3.05,0.7038888888888889,0.8379511633643015,0.9693877551020408,57.18
2025-02-07,12433,11036,10718,319.3,385.7,-183,91.3,4.98,Pass,11036,97.12,2.89,0.7321527777777778,0.8876377382771656,0.9711852120333454,63.12
2025-02-08,11973,9971,9658,315.8,478.9,-75,92.22,4.48,Pass,9971,96.86,3.17,0.6674305555555555,0.8327904451682954,0.9686089660014041,53.84
2025-02-09,11067,9898,9593,305.0,297.4,-73,92.95,1.22,Pass,9898,96.92,3.08,0.7934722222222221,0.894370651486401,0.9691856940796121,68.78
2025-02-10,11760,9296,8992,301.6,492.0,-29,96.78,4.31,Pass,9296,96.73,3.24,0.6583333333333333,0.7904761904761904,0.9672977624784854,50.34
2025-02-11,11422,9777,9454,325.3,367.5,32,93.29,3.15,Pass,9777,96.7,3.33,0.7447916666666666,0.8559796883207844,0.9669632811700931,61.65
2025-02-12,11600,9925,9601,324.0,376.2,105,95.45,3.72,Pass,9925,96.74,3.26,0.73875,0.8556034482758621,0.9673551637279597,61.14
2025-02-13,12113,10116,9851,267.2,388.8,120,91.82,1.03,Pass,10116,97.38,2.64,0.73,0.8351358045075539,0.9738038750494267,59.37
2025-02-14,11460,9808,9545,262.2,388.4,-129,95.13,2.89,Review,9808,97.32,2.67,0.7302777777777777,0.8558464223385689,0.9731851549755302,60.82
2025-02-15,11625,9885,9489,396.6,442.9,-75,96.99,2.73,Pass,9885,95.99,4.01,0.6924305555555555,0.8503225806451613,0.9599393019726858,56.52
2025-02-16,11925,9722,9393,327.8,488.8,-7,93.23,1.83,Pass,9722,96.62,3.37,0.6605555555555556,0.8152620545073376,0.9661592264966057,52.03
2025-02-17,11272,9194,8872,318.8,464.4,52,93.65,1.28,Pass,9194,96.5,3.47,0.6775,0.8156493967352733,0.9649771590167501,53.32
2025-02-18,12825,11429,11173,253.0,378.3,-126,93.54,2.98,Pass,11429,97.76,2.21,0.7372916666666667,0.8911500974658869,0.9776008399685012,64.23
2025-02-19,11836,10001,9766,235.3,393.2,-27,96.77,2.89,Pass,10001,97.65,2.35,0.7269444444444444,0.8449645150388645,0.9765023497650235,59.98
2025-02-20,11388,9623,9308,315.4,441.3,162,97.85,2.4,Pass,9623,96.73,3.28,0.6935416666666667,0.8450122936424306,0.9672659253870934,56.69
2025-02-21,11798,9506,9194,312.9,512.6,-184,96.39,4.78,Pass,9506,96.72,3.29,0.6440277777777778,0.8057297847092728,0.9671786240269303,50.19
2025-02-22,12233,10065,9787,280.8,477.8,111,91.64,2.48,Pass,10065,97.24,2.79,0.6681944444444444,0.8227744625194147,0.9723795330352707,53.46
2025-02-23,11695,9801,9464,336.8,402.7,-230,91.82,2.56,Pass,9801,96.56,3.44,0.7203472222222221,0.8380504489097905,0.9656157534945413,58.29
2025-02-24,11771,9838,9526,314.2,400.5,-105,95.07,1.89,Pass,9838,96.83,3.19,0.721875,0.835782856171948,0.9682862370400488,58.42
2025-02-25,12140,10264,9964,300.2,404.4,-103,93.36,4.93,Pass,10264,97.08,2.92,0.7191666666666666,0.8454695222405272,0.9707716289945441,59.03
2025-02-26,11962,9902,9612,288.0,447.9,-26,94.43,3.82,Pass,9902,97.07,2.91,0.6889583333333333,0.8277879953185087,0.9707129872752979,55.36
2025-02-27,11980,10047,9764,283.5,429.4,-195,92.8,1.9,Pass,10047,97.18,2.82,0.7018055555555556,0.8386477462437396,0.971832387777446,57.2
2025-02-28,11637,9631,9310,319.7,486.6,208,94.41,2.1,Pass,9631,96.67,3.32,0.6620833333333334,0.8276188020967603,0.9666701277125948,52.97
2025-03-01,11617,9756,9433,321.90000000000003,428.3,130,97.97,2.5,Pass,9756,96.69,3.3,0.7025694444444445,0.8398037359042783,0.9668921689216892,57.05
2025-03-02,11977,10042,9747,297.2,422.3,-49,96.98,1.9,Pass,10042,97.06,2.96,0.7067361111111111,0.8384403439926525,0.9706233817964549,57.51
2025-03-03,12214,10053,9771,281.9,443.7,-104,91.95,2.19,Pass,10053,97.19,2.8,0.691875,0.8230718847224496,0.9719486720381976,55.35
2025-03-04,11875,10684,10397,287.4,281.7,-19,93.1,3.49,Pass,10684,97.31,2.69,0.804375,0.8997052631578948,0.9731374017222014,70.43
2025-03-05,11838,9514,9239,276.0,464.7,175,91.52,1.13,Pass,9514,97.11,2.9,0.6772916666666666,0.8036830545700288,0.9710952280849274,52.86
2025-03-06,12163,9930,9611,320.4,466.0,129,93.79,3.59,Pass,9930,96.79,3.23,0.6763888888888889,0.816410425059607,0.9678751258811682,53.45
2025-03-07,11825,9574,9271,303.7,543.3,-16,90.89,1.85,Pass,9574,96.84,3.17,0.6227083333333334,0.8096405919661733,0.9683517860873199,48.82
2025-03-08,12509,11008,10760,248.9,341.1,-82,97.3,1.78,Pass,11008,97.75,2.26,0.763125,0.8800063953953153,0.9774709302325582,65.64
2025-03-09,11540,9403,9119,282.6,442.4,-114,95.52,3.19,Pass,9403,96.98,3.01,0.6927777777777778,0.8148180242634315,0.9697968733382963,54.74
2025-03-10,12563,11006,10695,311.1,310.1,-46,93.01,4.93,Pass,11006,97.17,2.83,0.7846527777777779,0.8760646342434132,0.9717426858077413,66.8
2025-03-11,12073,9788,9431,356.2,548.2,-84,90.58,3.54,Pass,9788,96.35,3.64,0.6193055555555556,0.810734697258345,0.9635267674703719,48.38
2025-03-12,11962,9862,9544,318.1,452.0,107,96.03,2.18,Pass,9862,96.78,3.23,0.6861111111111111,0.8244440728975088,0.967755019265869,54.74
2025-03-13,11901,9988,9704,282.2,455.1,114,95.25,4.35,Pass,9988,97.16,2.83,0.6839583333333333,0.8392572052768675,0.9715658790548658,55.77
2025-03-14,11833,10018,9679,337.40000000000003,355.7,12,97.68,2.83,Pass,10018,96.62,3.37,0.7529861111111111,0.8466153976168342,0.9661609103613495,61.59
2025-03-15,12343,10790,10485,305.2,419.79999999999995,24,95.16,3.85,Review,10790,97.17,2.83,0.7084722222222223,0.8741796969942478,0.9717330861909175,60.18
2025-03-16,12361,10772,10414,357.8,371.7,-104,92.21,1.99,Pass,10772,96.68,3.32,0.741875,0.8714505298924036,0.9667656888228742,62.5
2025-03-17,12449,11017,10749,267.4,379.0,19,97.76,1.69,Pass,11017,97.57,2.43,0.7368055555555556,0.8849706803759338,0.9756739584278842,63.62
2025-03-18,11706,9565,9289,273.7,439.8,-19,91.5,3.02,Review,9565,97.11,2.86,0.6945833333333333,0.8171023406799932,0.971144798745426,55.12
2025-03-19,12152,10623,10355,270.0,337.5,-22,91.99,3.74,Pass,10623,97.48,2.54,0.765625,0.874177090190915,0.9747717217358561,65.24
2025-03-20,12330,9949,9592,356.6,394.5,-68,91.58,2.72,Pass,9949,96.41,3.58,0.7260416666666667,0.8068937550689376,0.9641169966830837,56.48
2025-03-21,11470,9253,8934,320.5,475.9,100,90.86,4.74,Pass,9253,96.55,3.46,0.6695138888888889,0.806713164777681,0.9655246946936129,52.15
2025-03-22,11763,9933,9567,367.4,413.0,-86,97.73,4.9,Pass,9933,96.32,3.7,0.7131944444444445,0.8444274419790869,0.9631531259438236,58.01
2025-03-23,11973,10163,9873,288.5,397.0,2,92.39,3.98,Hold,10163,97.15,2.84,0.7243055555555555,0.8488265263509563,0.9714651185673522,59.73
2025-03-24,11697,9739,9438,298.7,471.6,-20,91.81,1.52,Review,9739,96.91,3.07,0.6725,0.8326066512781055,0.9690933360714652,54.26
2025-03-25,11880,10167,9867,300.1,383.1,166,90.68,3.97,Pass,10167,97.05,2.95,0.7339583333333334,0.8558080808080808,0.9704927707288286,60.96
2025-03-26,11770,9354,9060,293.6,437.59999999999997,55,95.32,4.14,Pass,9354,96.86,3.14,0.6961111111111111,0.794732370433305,0.9685695958948044,53.58
2025-03-27,11520,9534,9237,297.5,410.9,-31,90.82,1.31,Pass,9534,96.88,3.12,0.7146527777777777,0.8276041666666667,0.9688483322844557,57.3
2025-03-28,12168,10158,9873,284.7,406.2,56,90.97,2.3,Pass,10158,97.19,2.8,0.7179166666666666,0.8348126232741617,0.9719432959243945,58.25
2025-03-29,11808,9682,9419,264.9,491.6,-35,90.86,1.37,Pass,9682,97.28,2.74,0.6586111111111111,0.8199525745257452,0.972836190869655,52.54
2025-03-30,12337,10510,10191,320.8,384.7,16,90.76,2.76,Pass,10510,96.96,3.05,0.7328472222222222,0.8519088919510416,0.9696479543292102,60.54
2025-03-31,11823,9833,9546,285.3,435.2,-100,91.52,4.93,Pass,9833,97.08,2.9,0.6977777777777777,0.8316840057515014,0.9708125699176243,56.34
2025-04-01,12205,10544,10247,296.2,400.90000000000003,19,92.85,2.57,Pass,10544,97.18,2.81,0.7215972222222221,0.8639082343301926,0.9718323216995448,60.58
2025-04-02,11936,10150,9888,263.3,432.3,-107,93.62,3.09,Hold,10150,97.42,2.59,0.6997916666666667,0.8503686327077749,0.9741871921182266,57.97
2025-04-03,12191,10859,10549,308.6,370.8,-2,97.08,2.01,Pass,10859,97.15,2.84,0.7425,0.8907390698055943,0.9714522515885441,64.25
2025-04-04,12741,10600,10388,209.3,457.1,-99,95.15,4.98,Pass,10600,98.0,1.97,0.6825694444444445,0.8319598147712111,0.98,55.65
