date,machine,shift,downtime_reason,minutes
2025-01-01,Line_1,A,Quality Hold,65.4
2025-01-01,Line_1,B,Material Shortage,45.3
2025-01-01,Line_1,C,Material Shortage,38.9
2025-01-01,Line_2,A,Material Shortage,9.9
2025-01-01,Line_2,B,Changeover,57.7
2025-01-01,Line_2,C,Maintenance,11.9
2025-01-01,Line_3,A,Maintenance,39.8
2025-01-01,Line_3,B,Quality Hold,49.9
2025-01-01,Line_3,C,Changeover,31.8
2025-01-01,Line_4,A,Maintenance,49.6
2025-01-01,Line_4,B,Operator Delay,39.4
2025-01-01,Line_4,C,Maintenance,48.2
2025-01-02,Line_1,A,Maintenance,63.5
2025-01-02,Line_1,B,Operator Delay,34.8
2025-01-02,Line_1,C,Material Shortage,30.0
2025-01-02,Line_2,A,Material Shortage,6.8
2025-01-02,Line_2,B,Operator Delay,27.0
2025-01-02,Line_2,C,Quality Hold,31.2
2025-01-02,Line_3,A,Material Shortage,41.5
2025-01-02,Line_3,B,Changeover,81.6
2025-01-02,Line_3,C,Maintenance,53.7
2025-01-02,Line_4,A,Material Shortage,45.1
2025-01-02,Line_4,B,Quality Hold,7.0
2025-01-02,Line_4,C,Operator Delay,9.7
2025-01-03,Line_1,A,Changeover,78.7
2025-01-03,Line_1,B,Operator Delay,43.8
2025-01-03,Line_1,C,Material Shortage,32.0
2025-01-03,Line_2,A,Quality Hold,30.0
2025-01-03,Line_2,B,Material Shortage,44.9
2025-01-03,Line_2,C,Operator Delay,41.1
2025-01-03,Line_3,A,Material Shortage,37.6
2025-01-03,Line_3,B,Quality Hold,64.5
2025-01-03,Line_3,C,Operator Delay,30.5
2025-01-03,Line_4,A,Material Shortage,65.1
2025-01-03,Line_4,B,Material Shortage,46.0
2025-01-03,Line_4,C,Maintenance,41.4
2025-01-04,Line_1,A,Material Shortage,39.5
2025-01-04,Line_1,B,Material Shortage,45.2
2025-01-04,Line_1,C,Changeover,48.6
2025-01-04,Line_2,A,Operator Delay,22.2
2025-01-04,Line_2,B,Material Shortage,19.4
2025-01-04,Line_2,C,Maintenance,5.4
2025-01-04,Line_3,A,Changeover,54.7
2025-01-04,Line_3,B,Changeover,48.2
2025-01-04,Line_3,C,Changeover,13.6
2025-01-04,Line_4,A,Maintenance,45.7
2025-01-04,Line_4,B,Maintenance,45.6
2025-01-04,Line_4,C,Material Shortage,46.6
2025-01-05,Line_1,A,Changeover,22.7
2025-01-05,Line_1,B,Maintenance,49.3
2025-01-05,Line_1,C,Changeover,12.8
2025-01-05,Line_2,A,Changeover,71.3
2025-01-05,Line_2,B,Material Shortage,8.5
2025-01-05,Line_2,C,Maintenance,51.2
2025-01-05,Line_3,A,Changeover,59.7
2025-01-05,Line_3,B,Changeover,77.3
2025-01-05,Line_3,C,Material Shortage,40.7
2025-01-05,Line_4,A,Material Shortage,33.5
2025-01-05,Line_4,B,Changeover,31.1
2025-01-05,Line_4,C,Maintenance,31.3
2025-01-06,Line_1,A,Quality Hold,25.9
2025-01-06,Line_1,B,Operator Delay,55.2
2025-01-06,Line_1,C,Quality Hold,25.2
2025-01-06,Line_2,A,Maintenance,11.2
2025-01-06,Line_2,B,Quality Hold,41.6
2025-01-06,Line_2,C,Changeover,41.2
2025-01-06,Line_3,A,Material Shortage,34.5
2025-01-06,Line_3,B,Maintenance,52.1
2025-01-06,Line_3,C,Operator Delay,27.5
2025-01-06,Line_4,A,Changeover,35.1
2025-01-06,Line_4,B,Operator Delay,25.5
2025-01-06,Line_4,C,Material Shortage,3.7
2025-01-07,Line_1,A,Maintenance,31.9
2025-01-07,Line_1,B,Changeover,0.0
2025-01-07,Line_1,C,Quality Hold,39.0
2025-01-07,Line_2,A,Material Shortage,3.6
2025-01-07,Line_2,B,Changeover,31.2
2025-01-07,Line_2,C,Changeover,48.8
2025-01-07,Line_3,A,Maintenance,50.4
2025-01-07,Line_3,B,Changeover,36.7
2025-01-07,Line_3,C,Maintenance,37.0
2025-01-07,Line_4,A,Quality Hold,56.2
2025-01-07,Line_4,B,Maintenance,20.3
2025-01-07,Line_4,C,Quality Hold,48.0
2025-01-08,Line_1,A,Quality Hold,19.2
2025-01-08,Line_1,B,Maintenance,50.7
2025-01-08,Line_1,C,Changeover,6.4
2025-01-08,Line_2,A,Material Shortage,47.9
2025-01-08,Line_2,B,Maintenance,40.4
2025-01-08,Line_2,C,Material Shortage,37.2
2025-01-08,Line_3,A,Maintenance,30.6
2025-01-08,Line_3,B,Material Shortage,28.5
2025-01-08,Line_3,C,Maintenance,30.1
2025-01-08,Line_4,A,Changeover,35.8
2025-01-08,Line_4,B,Quality Hold,21.0
2025-01-08,Line_4,C,Operator Delay,28.5
2025-01-09,Line_1,A,Changeover,43.1
2025-01-09,Line_1,B,Quality Hold,36.3
2025-01-09,Line_1,C,Material Shortage,29.2
2025-01-09,Line_2,A,Quality Hold,34.1
2025-01-09,Line_2,B,Changeover,58.3
2025-01-09,Line_2,C,Operator Delay,17.1
2025-01-09,Line_3,A,Material Shortage,34.7
2025-01-09,Line_3,B,Changeover,31.2
2025-01-09,Line_3,C,Quality Hold,31.9
2025-01-09,Line_4,A,Maintenance,14.1
2025-01-09,Line_4,B,Quality Hold,28.5
2025-01-09,Line_4,C,Material Shortage,27.1
2025-01-10,Line_1,A,Changeover,35.5
2025-01-10,Line_1,B,Operator Delay,1.4
2025-01-10,Line_1,C,Changeover,39.0
2025-01-10,Line_2,A,Maintenance,53.7
2025-01-10,Line_2,B,Material Shortage,37.3
2025-01-10,Line_2,C,Changeover,23.4
2025-01-10,Line_3,A,Quality Hold,11.3
2025-01-10,Line_3,B,Changeover,71.0
2025-01-10,Line_3,C,Quality Hold,34.6
2025-01-10,Line_4,A,Changeover,72.0
2025-01-10,Line_4,B,Maintenance,4.1
2025-01-10,Line_4,C,Quality Hold,13.5
2025-01-11,Line_1,A,Maintenance,20.8
2025-01-11,Line_1,B,Quality Hold,57.1
2025-01-11,Line_1,C,Changeover,23.2
2025-01-11,Line_2,A,Changeover,18.9
2025-01-11,Line_2,B,Quality Hold,36.7
2025-01-11,Line_2,C,Maintenance,8.0
2025-01-11,Line_3,A,Quality Hold,47.8
2025-01-11,Line_3,B,Maintenance,7.6
2025-01-11,Line_3,C,Changeover,35.7
2025-01-11,Line_4,A,Maintenance,34.4
2025-01-11,Line_4,B,Changeover,17.5
2025-01-11,Line_4,C,Material Shortage,49.3
2025-01-12,Line_1,A,Quality Hold,39.6
2025-01-12,Line_1,B,Operator Delay,20.7
2025-01-12,Line_1,C,Maintenance,57.1
2025-01-12,Line_2,A,Maintenance,47.7
2025-01-12,Line_2,B,Changeover,24.2
2025-01-12,Line_2,C,Operator Delay,27.3
2025-01-12,Line_3,A,Material Shortage,39.6
2025-01-12,Line_3,B,Quality Hold,72.0
2025-01-12,Line_3,C,Operator Delay,21.1
2025-01-12,Line_4,A,Operator Delay,35.0
2025-01-12,Line_4,B,Quality Hold,43.0
2025-01-12,Line_4,C,Quality Hold,13.4
2025-01-13,Line_1,A,Changeover,44.7
2025-01-13,Line_1,B,Operator Delay,13.0
2025-01-13,Line_1,C,Changeover,6.5
2025-01-13,Line_2,A,Material Shortage,57.1
2025-01-13,Line_2,B,Maintenance,19.6
2025-01-13,Line_2,C,Maintenance,28.5
2025-01-13,Line_3,A,Quality Hold,37.9
2025-01-13,Line_3,B,Material Shortage,24.3
2025-01-13,Line_3,C,Quality Hold,58.5
2025-01-13,Line_4,A,Quality Hold,33.6
2025-01-13,Line_4,B,Maintenance,55.4
2025-01-13,Line_4,C,Material Shortage,44.2
2025-01-14,Line_1,A,Maintenance,28.4
2025-01-14,Line_1,B,Operator Delay,49.9
2025-01-14,Line_1,C,Maintenance,65.7
2025-01-14,Line_2,A,Quality Hold,58.0
2025-01-14,Line_2,B,Changeover,22.7
