date,material,expected_qty,actual_qty,variance
2025-01-01,Pulp_A,791,762,-29
2025-01-01,Chemical_B,640,705,65
2025-01-01,Packaging_C,924,901,-23
2025-01-01,Resin_D,683,754,71
2025-01-02,Pulp_A,951,1007,56
2025-01-02,Chemical_B,604,673,69
2025-01-02,Packaging_C,645,670,25
2025-01-02,Resin_D,798,884,86
2025-01-03,Pulp_A,1034,1062,28
2025-01-03,Chemical_B,1118,1182,64
2025-01-03,Packaging_C,868,885,17
2025-01-03,Resin_D,1150,1097,-53
2025-01-04,Pulp_A,784,721,-63
2025-01-04,Chemical_B,519,452,-67
2025-01-04,Packaging_C,917,890,-27
2025-01-04,Resin_D,530,507,-23
2025-01-05,Pulp_A,1063,1070,7
2025-01-05,Chemical_B,812,814,2
2025-01-05,Packaging_C,565,634,69
2025-01-05,Resin_D,519,471,-48
2025-01-06,Pulp_A,769,840,71
2025-01-06,Chemical_B,1122,1184,62
2025-01-06,Packaging_C,571,652,81
2025-01-06,Resin_D,782,775,-7
2025-01-07,Pulp_A,1084,1104,20
2025-01-07,Chemical_B,967,984,17
2025-01-07,Packaging_C,1037,1048,11
2025-01-07,Resin_D,1136,1128,-8
2025-01-08,Pulp_A,855,888,33
2025-01-08,Chemical_B,1166,1250,84
2025-01-08,Packaging_C,590,676,86
2025-01-08,Resin_D,706,651,-55
2025-01-09,Pulp_A,531,610,79
2025-01-09,Chemical_B,736,716,-20
2025-01-09,Packaging_C,1057,1061,4
2025-01-09,Resin_D,957,956,-1
2025-01-10,Pulp_A,670,656,-14
2025-01-10,Chemical_B,1124,1087,-37
2025-01-10,Packaging_C,1171,1100,-71
2025-01-10,Resin_D,731,719,-12
2025-01-11,Pulp_A,620,577,-43
2025-01-11,Chemical_B,981,1022,41
2025-01-11,Packaging_C,538,511,-27
2025-01-11,Resin_D,1011,1091,80
2025-01-12,Pulp_A,508,454,-54
2025-01-12,Chemical_B,772,736,-36
2025-01-12,Packaging_C,507,572,65
2025-01-12,Resin_D,1136,1178,42
2025-01-13,Pulp_A,919,992,73
2025-01-13,Chemical_B,1021,1099,78
2025-01-13,Packaging_C,852,928,76
2025-01-13,Resin_D,760,756,-4
2025-01-14,Pulp_A,1068,1004,-64
2025-01-14,Chemical_B,933,884,-49
2025-01-14,Packaging_C,1066,998,-68
2025-01-14,Resin_D,802,808,6
2025-01-15,Pulp_A,1175,1263,88
2025-01-15,Chemical_B,797,851,54
2025-01-15,Packaging_C,770,749,-21
2025-01-15,Resin_D,795,879,84
2025-01-16,Pulp_A,970,998,28
2025-01-16,Chemical_B,1090,1143,53
2025-01-16,Packaging_C,1172,1110,-62
2025-01-16,Resin_D,626,574,-52
2025-01-17,Pulp_A,520,462,-58
2025-01-17,Chemical_B,1142,1221,79
2025-01-17,Packaging_C,647,595,-52
2025-01-17,Resin_D,860,831,-29
2025-01-18,Pulp_A,614,590,-24
2025-01-18,Chemical_B,727,712,-15
2025-01-18,Packaging_C,744,713,-31
2025-01-18,Resin_D,1025,960,-65
2025-01-19,Pulp_A,963,1039,76
2025-01-19,Chemical_B,915,914,-1
2025-01-19,Packaging_C,979,1032,53
2025-01-19,Resin_D,1046,998,-48
2025-01-20,Pulp_A,591,598,7
2025-01-20,Chemical_B,568,524,-44
2025-01-20,Packaging_C,639,657,18
2025-01-20,Resin_D,1179,1152,-27
2025-01-21,Pulp_A,1188,1266,78
2025-01-21,Chemical_B,591,532,-59
2025-01-21,Packaging_C,671,682,11
2025-01-21,Resin_D,691,687,-4
2025-01-22,Pulp_A,889,863,-26
2025-01-22,Chemical_B,799,736,-63
2025-01-22,Packaging_C,511,578,67
2025-01-22,Resin_D,731,743,12
2025-01-23,Pulp_A,797,731,-66
2025-01-23,Chemical_B,733,715,-18
2025-01-23,Packaging_C,526,538,12
2025-01-23,Resin_D,1116,1088,-28
2025-01-24,Pulp_A,779,775,-4
2025-01-24,Chemical_B,723,743,20
2025-01-24,Packaging_C,631,563,-68
2025-01-24,Resin_D,956,973,17
2025-01-25,Pulp_A,1044,1007,-37
2025-01-25,Chemical_B,1008,1092,84
2025-01-25,Packaging_C,867,875,8
2025-01-25,Resin_D,791,791,0
2025-01-26,Pulp_A,723,662,-61
2025-01-26,Chemical_B,1123,1162,39
2025-01-26,Packaging_C,967,997,30
2025-01-26,Resin_D,709,629,-80
2025-01-27,Pulp_A,613,665,52
2025-01-27,Chemical_B,986,980,-6
2025-01-27,Packaging_C,749,727,-22
2025-01-27,Resin_D,814,780,-34
2025-01-28,Pulp_A,995,1080,85
2025-01-28,Chemical_B,649,675,26
2025-01-28,Packaging_C,842,829,-13
2025-01-28,Resin_D,820,793,-27
