job_id,date,machine,shift,planned_units,units_produced,good_units,scrap_units,downtime_minutes
JOB1000,2025-01-01,Line_1,A,1108,898,883,14.9,65.4
JOB1001,2025-01-01,Line_1,B,948,677,670,6.5,45.3
JOB1002,2025-01-01,Line_1,C,960,715,698,17.1,38.9
JOB1003,2025-01-01,Line_2,A,1074,999,972,27.1,9.9
JOB1004,2025-01-01,Line_2,B,845,580,563,17.6,57.7
JOB1005,2025-01-01,Line_2,C,1122,1092,1061,31.2,11.9
JOB1006,2025-01-01,Line_3,A,811,615,566,48.8,39.8
JOB1007,2025-01-01,Line_3,B,1002,698,675,23.2,49.9
JOB1008,2025-01-01,Line_3,C,1155,994,977,17.3,31.8
JOB1009,2025-01-01,Line_4,A,1189,1004,962,42.4,49.6
JOB1010,2025-01-01,Line_4,B,850,568,536,32.0,39.4
JOB1011,2025-01-01,Line_4,C,1003,904,887,17.0,48.2
JOB1012,2025-01-02,Line_1,A,1065,709,674,34.7,63.5
JOB1013,2025-01-02,Line_1,B,1070,900,869,31.0,34.8
JOB1014,2025-01-02,Line_1,C,870,682,638,43.9,30.0
JOB1015,2025-01-02,Line_2,A,1126,1080,1062,17.6,6.8
JOB1016,2025-01-02,Line_2,B,1056,965,944,20.4,27.0
JOB1017,2025-01-02,Line_2,C,881,752,740,11.7,31.2
JOB1018,2025-01-02,Line_3,A,1002,889,851,37.9,41.5
JOB1019,2025-01-02,Line_3,B,874,467,453,14.1,81.6
JOB1020,2025-01-02,Line_3,C,1094,847,816,30.7,53.7
JOB1021,2025-01-02,Line_4,A,841,669,640,29.2,45.1
JOB1022,2025-01-02,Line_4,B,855,892,872,20.2,7.0
JOB1023,2025-01-02,Line_4,C,928,962,931,30.6,9.7
JOB1024,2025-01-03,Line_1,A,806,323,295,28.1,78.7
JOB1025,2025-01-03,Line_1,B,991,818,795,22.4,43.8
JOB1026,2025-01-03,Line_1,C,1085,987,973,13.6,32.0
JOB1027,2025-01-03,Line_2,A,876,708,693,15.3,30.0
