date,yield_percent,defect_rate,quality_status
2025-01-01,93.65,3.44,Pass
2025-01-02,93.32,1.36,Pass
2025-01-03,91.76,2.86,Pass
2025-01-04,90.92,4.21,Pass
2025-01-05,97.48,4.34,Review
2025-01-06,91.46,2.46,Pass
2025-01-07,94.89,3.5,Pass
2025-01-08,91.35,2.29,Pass
2025-01-09,90.4,2.07,Pass
2025-01-10,91.5,3.61,Pass
2025-01-11,97.44,4.35,Hold
2025-01-12,94.87,2.78,Review
2025-01-13,92.14,4.72,Pass
2025-01-14,94.03,3.84,Pass
2025-01-15,93.37,2.64,Pass
2025-01-16,97.99,4.56,Pass
2025-01-17,95.96,1.85,Pass
2025-01-18,96.29,1.07,Pass
2025-01-19,97.5,2.51,Pass
2025-01-20,90.23,4.31,Pass
2025-01-21,94.76,1.36,Pass
2025-01-22,95.42,3.09,Pass
2025-01-23,93.36,4.86,Pass
2025-01-24,92.45,4.71,Pass
2025-01-25,95.46,3.8,Pass
2025-01-26,91.26,4.06,Pass
2025-01-27,92.99,1.86,Pass
2025-01-28,90.64,2.72,Pass
2025-01-29,94.65,4.78,Pass
2025-01-30,94.94,2.62,Pass
2025-01-31,93.59,2.02,Pass
2025-02-01,94.44,4.62,Pass
2025-02-02,91.34,2.63,Pass
2025-02-03,97.19,3.5,Pass
2025-02-04,90.82,1.25,Pass
2025-02-05,92.16,2.6,Review
2025-02-06,92.73,4.12,Pass
2025-02-07,91.3,4.98,Pass
2025-02-08,92.22,4.48,Pass
2025-02-09,92.95,1.22,Pass
2025-02-10,96.78,4.31,Pass
2025-02-11,93.29,3.15,Pass
2025-02-12,95.45,3.72,Pass
2025-02-13,91.82,1.03,Pass
2025-02-14,95.13,2.89,Review
2025-02-15,96.99,2.73,Pass
2025-02-16,93.23,1.83,Pass
2025-02-17,93.65,1.28,Pass
2025-02-18,93.54,2.98,Pass
2025-02-19,96.77,2.89,Pass
2025-02-20,97.85,2.4,Pass
2025-02-21,96.39,4.78,Pass
2025-02-22,91.64,2.48,Pass
2025-02-23,91.82,2.56,Pass
2025-02-24,95.07,1.89,Pass
2025-02-25,93.36,4.93,Pass
2025-02-26,94.43,3.82,Pass
2025-02-27,92.8,1.9,Pass
2025-02-28,94.41,2.1,Pass
2025-03-01,97.97,2.5,Pass
2025-03-02,96.98,1.9,Pass
2025-03-03,91.95,2.19,Pass
2025-03-04,93.1,3.49,Pass
2025-03-05,91.52,1.13,Pass
2025-03-06,93.79,3.59,Pass
2025-03-07,90.89,1.85,Pass
2025-03-08,97.3,1.78,Pass
2025-03-09,95.52,3.19,Pass
2025-03-10,93.01,4.93,Pass
2025-03-11,90.58,3.54,Pass
2025-03-12,96.03,2.18,Pass
2025-03-13,95.25,4.35,Pass
2025-03-14,97.68,2.83,Pass
2025-03-15,95.16,3.85,Review
2025-03-16,92.21,1.99,Pass
2025-03-17,97.76,1.69,Pass
2025-03-18,91.5,3.02,Review
2025-03-19,91.99,3.74,Pass
2025-03-20,91.58,2.72,Pass
2025-03-21,90.86,4.74,Pass
2025-03-22,97.73,4.9,Pass
2025-03-23,92.39,3.98,Hold
2025-03-24,91.81,1.52,Review
2025-03-25,90.68,3.97,Pass
2025-03-26,95.32,4.14,Pass
2025-03-27,90.82,1.31,Pass
2025-03-28,90.97,2.3,Pass
2025-03-29,90.86,1.37,Pass
2025-03-30,90.76,2.76,Pass
2025-03-31,91.52,4.93,Pass
2025-04-01,92.85,2.57,Pass
2025-04-02,93.62,3.09,Hold
2025-04-03,97.08,2.01,Pass
2025-04-04,95.15,4.98,Pass
2025-04-05,97.04,3.32,Pass
2025-04-06,91.86,4.69,Pass
2025-04-07,90.39,2.76,Pass
2025-04-08,95.16,4.79,Pass
2025-04-09,92.74,2.07,Hold
2025-04-10,97.51,4.97,Review
2025-04-11,93.05,3.62,Pass
2025-04-12,97.36,2.71,Pass
2025-04-13,90.56,3.03,Pass
2025-04-14,93.42,4.1,Pass
2025-04-15,91.32,2.62,Review
2025-04-16,97.38,1.2,Pass
2025-04-17,95.6,1.11,Pass
2025-04-18,92.21,2.59,Pass
2025-04-19,97.84,2.28,Pass
2025-04-20,97.93,4.03,Review
2025-04-21,96.41,3.15,Pass
2025-04-22,95.75,2.76,Pass
2025-04-23,92.42,4.56,Pass
2025-04-24,95.99,4.8,Pass
2025-04-25,97.4,3.29,Pass
2025-04-26,93.49,3.61,Pass
2025-04-27,96.28,3.05,Pass
2025-04-28,93.79,3.73,Pass
2025-04-29,96.84,4.63,Review
2025-04-30,93.75,4.59,Pass
2025-05-01,97.15,4.46,Pass
2025-05-02,90.82,4.62,Pass
2025-05-03,95.34,4.89,Review
2025-05-04,95.86,1.79,Pass
2025-05-05,91.97,1.07,Pass
2025-05-06,90.18,1.59,Pass
2025-05-07,93.53,1.24,Pass
2025-05-08,92.95,3.86,Pass
2025-05-09,91.22,3.06,Pass
2025-05-10,90.89,3.53,Pass
2025-05-11,92.23,3.93,Pass
2025-05-12,90.25,2.09,Pass
2025-05-13,90.68,2.33,Review
2025-05-14,95.68,2.28,Pass
2025-05-15,95.52,2.06,Pass
2025-05-16,92.71,2.02,Pass
2025-05-17,95.23,1.65,Pass
2025-05-18,97.98,3.66,Pass
2025-05-19,95.54,2.84,Pass
2025-05-20,94.79,4.84,Pass
2025-05-21,94.69,3.64,Pass
2025-05-22,97.8,1.23,Pass
2025-05-23,91.75,4.04,Pass
2025-05-24,90.83,4.59,Pass
2025-05-25,97.85,3.5,Pass
2025-05-26,97.84,1.71,Pass
2025-05-27,97.84,2.45,Pass
2025-05-28,90.04,4.0,Pass
2025-05-29,90.48,3.9,Pass
2025-05-30,90.84,1.77,Hold
2025-05-31,92.28,4.24,Pass
2025-06-01,92.69,3.48,Hold
2025-06-02,95.06,3.98,Pass
2025-06-03,91.11,2.47,Pass
2025-06-04,92.25,4.88,Pass
2025-06-05,91.57,3.06,Review
2025-06-06,92.48,1.25,Pass
2025-06-07,96.28,4.91,Pass
2025-06-08,95.74,2.48,Pass
2025-06-09,97.06,4.3,Pass
2025-06-10,95.32,3.32,Review
2025-06-11,90.1,3.38,Review
2025-06-12,91.99,1.67,Pass
2025-06-13,92.08,1.85,Review
2025-06-14,93.74,1.84,Review
2025-06-15,92.35,4.16,Review
2025-06-16,91.69,4.61,Pass
2025-06-17,90.53,1.54,Pass
2025-06-18,94.84,4.69,Pass
2025-06-19,96.21,4.12,Pass
2025-06-20,95.4,2.18,Pass
2025-06-21,95.83,1.42,Review
2025-06-22,95.83,2.42,Pass
2025-06-23,96.07,3.66,Pass
2025-06-24,90.87,3.4,Pass
2025-06-25,94.47,3.36,Pass
2025-06-26,95.55,2.87,Pass
2025-06-27,94.75,2.12,Pass
2025-06-28,97.79,1.51,Pass
2025-06-29,96.14,1.33,Pass
