date,material,material_demand,production_volume,ending_inventory,waste_percent,month,week,day_of_week,inventory_doh
2025-01-01,Pulp_A,235.79,244.55,860.75,3.99,1,1,2,109.5148225115569
2025-01-01,Chemical_B,99.83,92.77,369.31,5.33,1,1,2,110.98166883702294
2025-01-01,Packaging_C,172.03,158.84,547.15,5.85,1,1,2,95.41649712259489
2025-01-01,Resin_D,76.3,72.42,312.26,1.92,1,1,2,122.77588466579292
2025-01-02,Pulp_A,232.32,229.79,819.85,2.46,1,1,3,105.86905991735537
2025-01-02,Chemical_B,88.5,85.55,394.36,2.83,1,1,3,133.6813559322034
2025-01-02,Packaging_C,170.67,162.47,523.68,3.57,1,1,3,92.05132712251714
2025-01-02,Resin_D,75.52,76.82,302.25,1.85,1,1,3,120.06753177966102
2025-01-03,Pulp_A,220.02,226.51,872.68,3.2,1,1,4,118.99100081810742
2025-01-03,Chemical_B,103.83,96.09,344.73,5.55,1,1,4,99.6041606472118
2025-01-03,Packaging_C,161.37,156.51,508.11,3.6,1,1,4,94.4617958728388
2025-01-03,Resin_D,64.11,68.93,315.81,4.88,1,1,4,147.78193729527374
2025-01-04,Pulp_A,222.45,207.81,881.83,1.98,1,1,5,118.92515171948753
2025-01-04,Chemical_B,84.64,83.13,382.83,2.36,1,1,5,135.69116257088845
2025-01-04,Packaging_C,124.47,120.1,601.96,3.71,1,1,5,145.08556278621356
2025-01-04,Resin_D,71.24,66.39,294.14,5.93,1,1,5,123.8658057271196
2025-01-05,Pulp_A,201.57,185.62,913.73,5.08,1,1,6,135.99196308974552
2025-01-05,Chemical_B,102.18,106.62,396.1,1.37,1,1,6,116.29477392836172
2025-01-05,Packaging_C,119.13,126.05,573.14,4.12,1,1,6,144.33140266935283
2025-01-05,Resin_D,59.53,57.73,310.83,2.63,1,1,6,156.64202922896018
2025-01-06,Pulp_A,242.25,257.26,891.66,3.36,1,2,0,110.42229102167184
2025-01-06,Chemical_B,110.49,115.1,348.39,3.81,1,2,0,94.59408091229976
2025-01-06,Packaging_C,149.52,150.07,589.59,3.14,1,2,0,118.29654895666133
2025-01-06,Resin_D,86.37,83.8,281.16,3.54,1,2,0,97.65890934352207
2025-01-07,Pulp_A,227.11,223.85,881.82,4.78,1,2,1,116.48364228787811
2025-01-07,Chemical_B,93.28,99.69,369.18,5.04,1,2,1,118.73284734133792
2025-01-07,Packaging_C,164.14,172.11,544.08,1.93,1,2,1,99.44193980748143
2025-01-07,Resin_D,86.86,91.13,312.36,5.48,1,2,1,107.88395118581626
2025-01-08,Pulp_A,220.21,210.63,871.59,3.14,1,2,2,118.73983924435765
2025-01-08,Chemical_B,110.19,101.49,371.34,3.55,1,2,2,101.09991832289681
2025-01-08,Packaging_C,129.52,121.64,559.97,2.69,1,2,2,129.70274861025322
2025-01-08,Resin_D,83.33,83.58,301.77,4.52,1,2,2,108.64154566182647
2025-01-09,Pulp_A,234.95,252.33,863.19,2.26,1,2,3,110.2179187061077
2025-01-09,Chemical_B,77.3,74.64,397.03,1.18,1,2,3,154.08667529107373
2025-01-09,Packaging_C,151.99,141.08,609.59,2.39,1,2,3,120.32173169287454
2025-01-09,Resin_D,83.2,78.47,299.34,3.45,1,2,3,107.93509615384615
2025-01-10,Pulp_A,248.57,238.13,870.23,4.64,1,2,4,105.02836223196687
2025-01-10,Chemical_B,127.47,130.19,312.49,3.68,1,2,4,73.54436337961874
2025-01-10,Packaging_C,136.57,126.53,549.27,3.95,1,2,4,120.65680603353591
2025-01-10,Resin_D,63.17,64.63,313.55,1.87,1,2,4,148.90770935570683
2025-01-11,Pulp_A,199.97,213.95,938.78,1.69,1,2,5,140.83812571885784
2025-01-11,Chemical_B,77.02,82.25,389.93,5.39,1,2,5,151.8813295247988
2025-01-11,Packaging_C,145.97,153.38,523.26,3.78,1,2,5,107.54127560457628
2025-01-11,Resin_D,44.65,41.75,334.96,5.49,1,2,5,225.05711086226202
2025-01-12,Pulp_A,218.0,212.39,901.55,2.75,1,2,6,124.06651376146789
2025-01-12,Chemical_B,96.93,102.93,385.49,4.9,1,2,6,119.30981120396162
2025-01-12,Packaging_C,123.9,117.19,581.9,5.49,1,2,6,140.8958837772397
2025-01-12,Resin_D,73.5,67.68,283.64,1.8,1,2,6,115.77142857142856
2025-01-13,Pulp_A,260.43,266.76,851.42,2.12,1,3,0,98.07856237760625
2025-01-13,Chemical_B,92.82,90.23,401.86,4.73,1,3,0,129.88364576599872
2025-01-13,Packaging_C,166.89,171.1,543.43,3.84,1,3,0,97.68650008987956
2025-01-13,Resin_D,83.76,80.61,272.4,2.22,1,3,0,97.5644699140401
2025-01-14,Pulp_A,231.62,246.15,876.91,4.16,1,3,1,113.57956998532077
2025-01-14,Chemical_B,107.97,109.3,403.37,3.46,1,3,1,112.07835509863853
2025-01-14,Packaging_C,162.16,156.47,516.41,1.12,1,3,1,95.5371238283177
2025-01-14,Resin_D,71.71,76.76,315.35,5.77,1,3,1,131.92720680518758
2025-01-15,Pulp_A,229.76,211.94,888.09,5.64,1,3,2,115.95882660167132
2025-01-15,Chemical_B,115.21,123.75,357.97,5.27,1,3,2,93.2132627376096
2025-01-15,Packaging_C,140.41,148.29,521.72,2.58,1,3,2,111.47069297058614
2025-01-15,Resin_D,91.32,97.69,252.54,4.48,1,3,2,82.96320630749015
2025-01-16,Pulp_A,220.18,224.23,883.66,5.95,1,3,3,120.40058134253792
2025-01-16,Chemical_B,109.31,115.91,337.11,4.7,1,3,3,92.51944012441679
2025-01-16,Packaging_C,169.68,165.87,556.66,2.47,1,3,3,98.4193776520509
2025-01-16,Resin_D,96.16,101.81,291.68,5.57,1,3,3,90.99833610648919
2025-01-17,Pulp_A,241.5,253.02,954.82,4.25,1,3,4,118.6111801242236
2025-01-17,Chemical_B,123.08,130.76,368.21,2.69,1,3,4,89.74894377640558
2025-01-17,Packaging_C,142.18,143.96,551.9,1.18,1,3,4,116.45097763398508
2025-01-17,Resin_D,123.49,119.27,204.83,3.95,1,3,4,49.76030447809539
2025-01-18,Pulp_A,209.02,196.55,918.2,3.61,1,3,5,131.7864319203904
2025-01-18,Chemical_B,80.37,81.95,411.62,1.43,1,3,5,153.6468831653602
2025-01-18,Packaging_C,136.78,137.67,546.93,4.19,1,3,5,119.95832724082467
2025-01-18,Resin_D,40.72,42.64,338.94,2.35,1,3,5,249.71021611001964
2025-01-19,Pulp_A,204.54,189.0,892.59,5.81,1,3,6,130.916691111763
2025-01-19,Chemical_B,99.0,97.56,397.64,1.87,1,3,6,120.4969696969697
2025-01-19,Packaging_C,129.3,130.32,554.37,4.57,1,3,6,128.62412993039442
2025-01-19,Resin_D,52.51,56.33,345.43,4.69,1,3,6,197.35098076556847
2025-01-20,Pulp_A,266.58,263.15,859.23,2.24,1,4,0,96.69480081026335
2025-01-20,Chemical_B,128.75,118.75,328.55,1.58,1,4,0,76.55533980582524
2025-01-20,Packaging_C,161.41,160.74,557.96,1.49,1,4,0,103.70361191995539
2025-01-20,Resin_D,41.13,38.98,308.26,3.17,1,4,0,224.8431801604668
2025-01-21,Pulp_A,259.56,265.17,804.69,1.23,1,4,1,93.00624133148406
2025-01-21,Chemical_B,131.69,131.76,307.41,5.28,1,4,1,70.03037436403676
2025-01-21,Packaging_C,140.35,130.71,571.2,4.21,1,4,1,122.09476309226935
2025-01-21,Resin_D,91.12,97.54,274.25,3.88,1,4,1,90.29302019315188
2025-01-22,Pulp_A,259.18,257.45,809.87,3.73,1,4,2,93.74218689713713
2025-01-22,Chemical_B,108.12,116.1,381.59,5.53,1,4,2,105.87957824639288
2025-01-22,Packaging_C,159.61,148.66,524.82,2.59,1,4,2,98.64419522586304
2025-01-22,Resin_D,81.55,76.57,314.69,4.48,1,4,2,115.76578786020846
2025-01-23,Pulp_A,249.21,258.58,858.48,5.02,1,4,3,103.34416756951968
2025-01-23,Chemical_B,98.28,102.22,362.72,5.03,1,4,3,110.72039072039072
2025-01-23,Packaging_C,155.4,152.22,547.53,4.88,1,4,3,105.70077220077218
2025-01-23,Resin_D,98.92,104.59,271.03,3.14,1,4,3,82.19672462596036
2025-01-24,Pulp_A,248.41,232.64,871.93,5.51,1,4,4,105.30131637212672
2025-01-24,Chemical_B,130.61,126.85,344.91,5.48,1,4,4,79.22287726820305
2025-01-24,Packaging_C,160.89,172.49,535.85,3.87,1,4,4,99.91609173969795
2025-01-24,Resin_D,78.76,76.15,348.55,2.64,1,4,4,132.764093448451
2025-01-25,Pulp_A,235.72,246.71,884.08,4.95,1,4,5,112.51654505345326
2025-01-25,Chemical_B,93.16,86.57,359.41,3.75,1,4,5,115.7395878059253
2025-01-25,Packaging_C,152.97,149.32,543.35,1.59,1,4,5,106.56010982545597
2025-01-25,Resin_D,79.54,81.04,281.37,1.51,1,4,5,106.1239627860196
2025-01-26,Pulp_A,222.33,207.13,865.0,5.11,1,4,6,116.71839158008365
2025-01-26,Chemical_B,86.59,80.84,394.21,5.93,1,4,6,136.5781268044809
2025-01-26,Packaging_C,116.93,122.79,547.88,5.74,1,4,6,140.56615068844607
2025-01-26,Resin_D,62.88,65.67,306.78,3.79,1,4,6,146.36450381679387
2025-01-27,Pulp_A,249.83,234.29,846.17,3.46,1,5,0,101.60949445623022
2025-01-27,Chemical_B,111.69,103.76,356.1,1.59,1,5,0,95.64867042707495
