date,material,material_demand,production_volume,ending_inventory,waste_percent
2025-01-01,Pulp_A,235.79,244.55,860.75,3.99
2025-01-01,Chemical_B,99.83,92.77,369.31,5.33
2025-01-01,Packaging_C,172.03,158.84,547.15,5.85
2025-01-01,Resin_D,76.3,72.42,312.26,1.92
2025-01-02,Pulp_A,232.32,229.79,819.85,2.46
2025-01-02,Chemical_B,88.5,85.55,394.36,2.83
2025-01-02,Packaging_C,170.67,162.47,523.68,3.57
2025-01-02,Resin_D,75.52,76.82,302.25,1.85
2025-01-03,Pulp_A,220.02,226.51,872.68,3.2
2025-01-03,Chemical_B,103.83,96.09,344.73,5.55
2025-01-03,Packaging_C,161.37,156.51,508.11,3.6
2025-01-03,Resin_D,64.11,68.93,315.81,4.88
2025-01-04,Pulp_A,222.45,207.81,881.83,1.98
2025-01-04,Chemical_B,84.64,83.13,382.83,2.36
2025-01-04,Packaging_C,124.47,120.1,601.96,3.71
2025-01-04,Resin_D,71.24,66.39,294.14,5.93
2025-01-05,Pulp_A,201.57,185.62,913.73,5.08
2025-01-05,Chemical_B,102.18,106.62,396.1,1.37
2025-01-05,Packaging_C,119.13,126.05,573.14,4.12
2025-01-05,Resin_D,59.53,57.73,310.83,2.63
2025-01-06,Pulp_A,242.25,257.26,891.66,3.36
2025-01-06,Chemical_B,110.49,115.1,348.39,3.81
2025-01-06,Packaging_C,149.52,150.07,589.59,3.14
2025-01-06,Resin_D,86.37,83.8,281.16,3.54
2025-01-07,Pulp_A,227.11,223.85,881.82,4.78
2025-01-07,Chemical_B,93.28,99.69,369.18,5.04
2025-01-07,Packaging_C,164.14,172.11,544.08,1.93
2025-01-07,Resin_D,86.86,91.13,312.36,5.48
2025-01-08,Pulp_A,220.21,210.63,871.59,3.14
2025-01-08,Chemical_B,110.19,101.49,371.34,3.55
2025-01-08,Packaging_C,129.52,121.64,559.97,2.69
2025-01-08,Resin_D,83.33,83.58,301.77,4.52
2025-01-09,Pulp_A,234.95,252.33,863.19,2.26
2025-01-09,Chemical_B,77.3,74.64,397.03,1.18
2025-01-09,Packaging_C,151.99,141.08,609.59,2.39
2025-01-09,Resin_D,83.2,78.47,299.34,3.45
2025-01-10,Pulp_A,248.57,238.13,870.23,4.64
2025-01-10,Chemical_B,127.47,130.19,312.49,3.68
2025-01-10,Packaging_C,136.57,126.53,549.27,3.95
2025-01-10,Resin_D,63.17,64.63,313.55,1.87
2025-01-11,Pulp_A,199.97,213.95,938.78,1.69
2025-01-11,Chemical_B,77.02,82.25,389.93,5.39
2025-01-11,Packaging_C,145.97,153.38,523.26,3.78
2025-01-11,Resin_D,44.65,41.75,334.96,5.49
2025-01-12,Pulp_A,218.0,212.39,901.55,2.75
2025-01-12,Chemical_B,96.93,102.93,385.49,4.9
2025-01-12,Packaging_C,123.9,117.19,581.9,5.49
2025-01-12,Resin_D,73.5,67.68,283.64,1.8
2025-01-13,Pulp_A,260.43,266.76,851.42,2.12
2025-01-13,Chemical_B,92.82,90.23,401.86,4.73
2025-01-13,Packaging_C,166.89,171.1,543.43,3.84
2025-01-13,Resin_D,83.76,80.61,272.4,2.22
2025-01-14,Pulp_A,231.62,246.15,876.91,4.16
2025-01-14,Chemical_B,107.97,109.3,403.37,3.46
2025-01-14,Packaging_C,162.16,156.47,516.41,1.12
2025-01-14,Resin_D,71.71,76.76,315.35,5.77
2025-01-15,Pulp_A,229.76,211.94,888.09,5.64
2025-01-15,Chemical_B,115.21,123.75,357.97,5.27
2025-01-15,Packaging_C,140.41,148.29,521.72,2.58
2025-01-15,Resin_D,91.32,97.69,252.54,4.48
2025-01-16,Pulp_A,220.18,224.23,883.66,5.95
2025-01-16,Chemical_B,109.31,115.91,337.11,4.7
2025-01-16,Packaging_C,169.68,165.87,556.66,2.47
2025-01-16,Resin_D,96.16,101.81,291.68,5.57
2025-01-17,Pulp_A,241.5,253.02,954.82,4.25
2025-01-17,Chemical_B,123.08,130.76,368.21,2.69
2025-01-17,Packaging_C,142.18,143.96,551.9,1.18
2025-01-17,Resin_D,123.49,119.27,204.83,3.95
2025-01-18,Pulp_A,209.02,196.55,918.2,3.61
2025-01-18,Chemical_B,80.37,81.95,411.62,1.43
2025-01-18,Packaging_C,136.78,137.67,546.93,4.19
2025-01-18,Resin_D,40.72,42.64,338.94,2.35
2025-01-19,Pulp_A,204.54,189.0,892.59,5.81
2025-01-19,Chemical_B,99.0,97.56,397.64,1.87
2025-01-19,Packaging_C,129.3,130.32,554.37,4.57
2025-01-19,Resin_D,52.51,56.33,345.43,4.69
2025-01-20,Pulp_A,266.58,263.15,859.23,2.24
2025-01-20,Chemical_B,128.75,118.75,328.55,1.58
2025-01-20,Packaging_C,161.41,160.74,557.96,1.49
2025-01-20,Resin_D,41.13,38.98,308.26,3.17
2025-01-21,Pulp_A,259.56,265.17,804.69,1.23
2025-01-21,Chemical_B,131.69,131.76,307.41,5.28
2025-01-21,Packaging_C,140.35,130.71,571.2,4.21
2025-01-21,Resin_D,91.12,97.54,274.25,3.88
2025-01-22,Pulp_A,259.18,257.45,809.87,3.73
2025-01-22,Chemical_B,108.12,116.1,381.59,5.53
2025-01-22,Packaging_C,159.61,148.66,524.82,2.59
2025-01-22,Resin_D,81.55,76.57,314.69,4.48
2025-01-23,Pulp_A,249.21,258.58,858.48,5.02
2025-01-23,Chemical_B,98.28,102.22,362.72,5.03
2025-01-23,Packaging_C,155.4,152.22,547.53,4.88
2025-01-23,Resin_D,98.92,104.59,271.03,3.14
2025-01-24,Pulp_A,248.41,232.64,871.93,5.51
2025-01-24,Chemical_B,130.61,126.85,344.91,5.48
2025-01-24,Packaging_C,160.89,172.49,535.85,3.87
2025-01-24,Resin_D,78.76,76.15,348.55,2.64
2025-01-25,Pulp_A,235.72,246.71,884.08,4.95
2025-01-25,Chemical_B,93.16,86.57,359.41,3.75
2025-01-25,Packaging_C,152.97,149.32,543.35,1.59
2025-01-25,Resin_D,79.54,81.04,281.37,1.51
2025-01-26,Pulp_A,222.33,207.13,865.0,5.11
2025-01-26,Chemical_B,86.59,80.84,394.21,5.93
2025-01-26,Packaging_C,116.93,122.79,547.88,5.74
2025-01-26,Resin_D,62.88,65.67,306.78,3.79
2025-01-27,Pulp_A,249.83,234.29,846.17,3.46
2025-01-27,Chemical_B,111.69,103.76,356.1,1.59
2025-01-27,Packaging_C,161.81,168.18,517.51,3.92
2025-01-27,Resin_D,90.33,87.24,294.71,5.34
2025-01-28,Pulp_A,240.63,224.22,859.68,3.77
2025-01-28,Chemical_B,112.64,114.97,374.81,4.48
2025-01-28,Packaging_C,189.57,192.13,491.25,5.51
2025-01-28,Resin_D,125.12,120.66,229.67,1.94
2025-01-29,Pulp_A,205.72,208.47,881.14,1.39
2025-01-29,Chemical_B,117.7,114.11,404.2,5.07
2025-01-29,Packaging_C,144.1,153.57,568.2,5.11
2025-01-29,Resin_D,72.77,77.81,348.02,5.33
2025-01-30,Pulp_A,255.57,275.49,832.7,1.75
2025-01-30,Chemical_B,87.18,93.73,421.67,5.21
2025-01-30,Packaging_C,156.16,154.03,574.79,2.37
2025-01-30,Resin_D,92.95,96.95,283.22,5.72
2025-01-31,Pulp_A,231.42,229.59,884.15,1.65
2025-01-31,Chemical_B,114.98,109.99,372.88,4.36
2025-01-31,Packaging_C,135.16,126.8,596.78,4.36
2025-01-31,Resin_D,116.44,116.82,261.45,5.26
2025-02-01,Pulp_A,251.38,266.53,892.5,3.02
2025-02-01,Chemical_B,105.15,108.58,404.07,2.06
2025-02-01,Packaging_C,156.34,153.65,499.69,3.19
2025-02-01,Resin_D,71.43,71.59,321.51,4.92
2025-02-02,Pulp_A,245.19,259.4,820.31,5.75
2025-02-02,Chemical_B,70.21,69.75,403.4,5.9
2025-02-02,Packaging_C,109.75,112.09,588.02,2.2
2025-02-02,Resin_D,81.26,77.12,270.24,2.73
2025-02-03,Pulp_A,238.11,244.49,885.77,1.86
2025-02-03,Chemical_B,106.09,100.61,349.08,1.44
2025-02-03,Packaging_C,157.44,150.05,516.68,2.82
2025-02-03,Resin_D,123.52,114.41,252.36,5.0
2025-02-04,Pulp_A,228.84,242.52,876.51,5.6
2025-02-04,Chemical_B,112.65,118.17,356.83,4.74
2025-02-04,Packaging_C,151.38,148.24,534.23,3.42
2025-02-04,Resin_D,71.61,71.18,337.57,4.74
2025-02-05,Pulp_A,248.26,248.73,859.52,3.66
2025-02-05,Chemical_B,112.7,113.29,338.41,2.21
2025-02-05,Packaging_C,148.27,136.89,516.17,2.61
2025-02-05,Resin_D,84.92,79.75,263.04,5.45
2025-02-06,Pulp_A,265.2,277.47,856.84,3.49
2025-02-06,Chemical_B,116.06,117.67,337.41,4.73
2025-02-06,Packaging_C,144.34,139.34,550.91,2.82
2025-02-06,Resin_D,108.79,106.28,313.95,5.93
2025-02-07,Pulp_A,219.19,205.23,894.88,1.76
2025-02-07,Chemical_B,105.41,100.12,357.41,2.43
2025-02-07,Packaging_C,160.9,158.59,518.33,5.91
2025-02-07,Resin_D,91.59,98.46,260.73,5.33
2025-02-08,Pulp_A,213.79,202.53,905.1,4.34
2025-02-08,Chemical_B,98.93,100.06,394.85,2.4
2025-02-08,Packaging_C,132.5,128.76,581.76,3.13
2025-02-08,Resin_D,53.03,49.76,323.17,4.05
2025-02-09,Pulp_A,232.29,219.44,826.17,3.41
2025-02-09,Chemical_B,87.93,85.63,388.25,1.67
2025-02-09,Packaging_C,157.8,151.61,527.77,4.41
2025-02-09,Resin_D,85.66,85.27,325.38,3.06
2025-02-10,Pulp_A,249.63,262.83,845.3,5.83
2025-02-10,Chemical_B,121.54,130.06,338.36,1.91
2025-02-10,Packaging_C,162.27,164.21,533.84,5.21
2025-02-10,Resin_D,101.04,96.21,263.67,1.82
2025-02-11,Pulp_A,247.15,253.68,842.33,3.62
2025-02-11,Chemical_B,129.3,127.07,337.55,5.08
2025-02-11,Packaging_C,130.66,129.88,544.14,2.51
2025-02-11,Resin_D,96.51,92.37,320.4,5.5
2025-02-12,Pulp_A,253.93,270.44,790.79,4.12
2025-02-12,Chemical_B,94.31,88.87,409.28,4.97
2025-02-12,Packaging_C,170.98,181.76,585.79,4.94
2025-02-12,Resin_D,89.6,85.99,264.16,4.72
2025-02-13,Pulp_A,242.81,253.01,845.24,5.38
2025-02-13,Chemical_B,132.3,124.06,329.95,5.23
2025-02-13,Packaging_C,157.69,165.19,517.84,1.75
2025-02-13,Resin_D,108.1,111.9,243.85,4.21
2025-02-14,Pulp_A,248.19,238.33,898.73,2.73
2025-02-14,Chemical_B,90.31,89.76,422.09,5.74
2025-02-14,Packaging_C,166.19,166.35,505.67,4.06
2025-02-14,Resin_D,98.63,101.73,294.51,5.61
2025-02-15,Pulp_A,212.38,214.97,899.41,4.03
2025-02-15,Chemical_B,123.13,131.69,339.09,5.63
2025-02-15,Packaging_C,129.39,139.43,567.47,5.19
2025-02-15,Resin_D,80.07,81.24,322.29,3.0
2025-02-16,Pulp_A,222.1,232.87,867.23,1.02
2025-02-16,Chemical_B,84.29,84.8,349.34,5.6
2025-02-16,Packaging_C,125.12,129.88,542.5,3.26
2025-02-16,Resin_D,75.58,71.24,261.84,1.88
2025-02-17,Pulp_A,202.26,215.68,896.39,2.81
2025-02-17,Chemical_B,145.44,134.11,357.72,4.32
2025-02-17,Packaging_C,158.68,148.15,513.66,5.98
2025-02-17,Resin_D,136.31,126.87,240.17,4.75
2025-02-18,Pulp_A,245.91,234.31,850.48,1.95
2025-02-18,Chemical_B,117.45,118.67,343.97,1.33
2025-02-18,Packaging_C,159.11,159.74,578.49,3.2
2025-02-18,Resin_D,116.63,110.2,206.53,1.91
2025-02-19,Pulp_A,222.05,227.17,858.5,3.04
2025-02-19,Chemical_B,132.2,122.2,374.59,2.11
2025-02-19,Packaging_C,173.99,160.62,497.78,1.52
2025-02-19,Resin_D,90.3,92.51,296.94,2.19
2025-02-20,Pulp_A,239.78,248.31,850.85,5.28
2025-02-20,Chemical_B,112.97,116.01,391.01,2.02
2025-02-20,Packaging_C,172.28,158.86,519.98,1.43
2025-02-20,Resin_D,103.28,101.98,240.44,5.46
2025-02-21,Pulp_A,235.77,226.69,890.46,2.9
2025-02-21,Chemical_B,95.26,97.15,394.89,3.05
2025-02-21,Packaging_C,132.38,128.02,610.03,5.74
2025-02-21,Resin_D,90.43,95.76,294.55,3.44
2025-02-22,Pulp_A,227.53,224.81,876.23,1.11
2025-02-22,Chemical_B,105.44,107.69,326.81,2.29
2025-02-22,Packaging_C,148.38,159.88,547.02,3.63
2025-02-22,Resin_D,72.72,67.12,282.82,5.57
2025-02-23,Pulp_A,228.96,220.69,846.58,3.77
2025-02-23,Chemical_B,116.46,110.99,370.35,1.05
2025-02-23,Packaging_C,149.87,152.28,574.7,4.33
2025-02-23,Resin_D,53.41,53.58,289.6,1.23
2025-02-24,Pulp_A,252.0,235.17,829.86,4.02
2025-02-24,Chemical_B,110.06,106.34,329.78,2.78
2025-02-24,Packaging_C,149.59,151.18,576.75,3.38
2025-02-24,Resin_D,106.63,110.6,272.99,2.07
2025-02-25,Pulp_A,235.79,235.66,867.26,3.98
2025-02-25,Chemical_B,136.67,128.07,320.75,1.38
2025-02-25,Packaging_C,163.9,168.85,580.37,3.17
2025-02-25,Resin_D,110.05,115.32,250.89,4.47
2025-02-26,Pulp_A,253.95,248.3,806.79,1.46
2025-02-26,Chemical_B,118.51,112.54,372.01,3.71
2025-02-26,Packaging_C,170.33,178.68,544.94,4.29
2025-02-26,Resin_D,112.13,107.64,274.35,3.45
2025-02-27,Pulp_A,251.26,238.42,853.94,3.84
2025-02-27,Chemical_B,103.6,110.63,397.73,5.86
2025-02-27,Packaging_C,164.22,173.73,552.82,5.22
2025-02-27,Resin_D,113.89,105.45,248.21,3.98
2025-02-28,Pulp_A,238.48,222.34,853.79,4.48
2025-02-28,Chemical_B,138.83,129.18,313.8,2.58
2025-02-28,Packaging_C,186.7,181.29,518.21,4.13
2025-02-28,Resin_D,104.0,99.56,293.24,1.12
2025-03-01,Pulp_A,228.41,244.46,898.23,4.99
2025-03-01,Chemical_B,94.42,94.11,415.82,4.14
2025-03-01,Packaging_C,140.49,138.72,595.84,4.69
2025-03-01,Resin_D,75.87,74.11,292.08,2.44
2025-03-02,Pulp_A,212.29,196.73,868.52,1.09
2025-03-02,Chemical_B,101.83,99.94,379.03,4.4
2025-03-02,Packaging_C,162.11,173.65,532.54,3.34
2025-03-02,Resin_D,65.51,70.66,319.05,2.16
2025-03-03,Pulp_A,248.01,252.29,864.3,3.56
2025-03-03,Chemical_B,110.95,105.99,350.77,1.93
2025-03-03,Packaging_C,155.96,144.92,573.77,5.85
2025-03-03,Resin_D,121.83,125.65,238.91,1.77
2025-03-04,Pulp_A,237.4,226.91,878.43,3.68
2025-03-04,Chemical_B,143.89,134.49,376.0,5.39
2025-03-04,Packaging_C,156.49,166.22,533.82,5.78
2025-03-04,Resin_D,104.97,107.58,278.39,3.75
2025-03-05,Pulp_A,243.19,238.23,836.86,2.3
2025-03-05,Chemical_B,120.34,112.28,399.52,2.1
2025-03-05,Packaging_C,158.08,166.96,547.52,3.48
2025-03-05,Resin_D,138.74,145.95,222.98,2.74
2025-03-06,Pulp_A,256.22,246.67,889.95,5.39
2025-03-06,Chemical_B,129.85,137.14,372.87,5.34
2025-03-06,Packaging_C,178.3,183.93,534.38,4.4
2025-03-06,Resin_D,121.73,115.08,269.49,5.4
2025-03-07,Pulp_A,243.63,237.21,860.03,4.72
2025-03-07,Chemical_B,126.67,133.4,338.5,3.54
2025-03-07,Packaging_C,169.01,172.57,532.15,2.3
2025-03-07,Resin_D,110.82,115.78,318.26,1.53
2025-03-08,Pulp_A,232.02,249.21,907.41,2.71
2025-03-08,Chemical_B,112.4,105.25,367.26,5.69
2025-03-08,Packaging_C,141.59,137.08,563.27,4.54
2025-03-08,Resin_D,85.28,83.17,272.22,4.1
2025-03-09,Pulp_A,220.04,229.13,889.39,1.12
2025-03-09,Chemical_B,126.9,130.62,346.45,3.23
2025-03-09,Packaging_C,126.7,119.88,518.33,4.97
2025-03-09,Resin_D,68.1,63.55,324.61,4.4
2025-03-10,Pulp_A,227.35,243.75,894.47,1.76
2025-03-10,Chemical_B,131.3,129.62,341.22,4.19
2025-03-10,Packaging_C,143.67,154.79,539.03,3.05
2025-03-10,Resin_D,97.93,93.44,285.87,1.16
2025-03-11,Pulp_A,227.9,241.19,908.19,3.37
2025-03-11,Chemical_B,126.82,132.31,359.6,5.22
2025-03-11,Packaging_C,176.32,165.91,556.91,1.16
2025-03-11,Resin_D,104.62,109.59,288.1,3.41
2025-03-12,Pulp_A,236.65,225.31,908.37,3.46
2025-03-12,Chemical_B,123.72,119.15,334.26,4.99
2025-03-12,Packaging_C,160.1,147.59,492.66,1.36
2025-03-12,Resin_D,95.01,96.53,219.39,2.46
2025-03-13,Pulp_A,258.7,270.28,851.94,1.2
2025-03-13,Chemical_B,107.41,102.97,366.4,5.93
2025-03-13,Packaging_C,166.86,170.01,504.18,4.51
2025-03-13,Resin_D,98.6,95.86,277.07,3.59
2025-03-14,Pulp_A,243.31,225.14,839.64,1.39
2025-03-14,Chemical_B,107.0,108.15,360.98,4.45
2025-03-14,Packaging_C,158.45,150.02,555.86,1.52
2025-03-14,Resin_D,123.01,113.79,275.1,5.68
2025-03-15,Pulp_A,230.02,237.71,853.81,5.35
2025-03-15,Chemical_B,117.55,114.53,373.33,5.07
2025-03-15,Packaging_C,168.89,167.6,536.05,4.22
2025-03-15,Resin_D,110.16,102.79,269.78,1.3
2025-03-16,Pulp_A,219.45,232.51,868.45,2.1
2025-03-16,Chemical_B,112.07,114.91,348.59,3.49
2025-03-16,Packaging_C,175.14,167.53,535.77,5.98
2025-03-16,Resin_D,84.79,80.72,293.21,4.4
2025-03-17,Pulp_A,243.45,257.8,814.83,4.64
2025-03-17,Chemical_B,115.07,112.23,399.28,2.86
2025-03-17,Packaging_C,170.68,169.01,555.5,4.63
2025-03-17,Resin_D,118.5,126.09,255.54,3.11
2025-03-18,Pulp_A,257.19,274.15,803.4,2.05
2025-03-18,Chemical_B,144.55,149.94,364.95,1.66
2025-03-18,Packaging_C,174.81,165.85,531.71,2.19
2025-03-18,Resin_D,102.02,97.89,302.3,5.35
2025-03-19,Pulp_A,259.06,253.22,769.73,3.96
2025-03-19,Chemical_B,117.05,125.84,329.96,2.29
2025-03-19,Packaging_C,148.06,154.54,580.96,1.65
2025-03-19,Resin_D,101.78,97.48,285.15,1.37
2025-03-20,Pulp_A,248.71,242.22,819.22,5.14
2025-03-20,Chemical_B,99.21,101.07,365.09,4.53
2025-03-20,Packaging_C,162.33,150.29,528.94,4.68
2025-03-20,Resin_D,97.73,103.11,329.19,5.03
2025-03-21,Pulp_A,263.08,250.7,842.89,1.56
2025-03-21,Chemical_B,121.55,122.16,352.52,5.68
2025-03-21,Packaging_C,178.62,173.36,519.37,3.54
2025-03-21,Resin_D,116.37,115.53,267.29,3.58
2025-03-22,Pulp_A,261.02,245.97,835.5,1.15
2025-03-22,Chemical_B,121.31,115.53,327.69,4.37
2025-03-22,Packaging_C,140.33,148.6,607.52,1.89
2025-03-22,Resin_D,97.74,104.69,289.65,4.42
2025-03-23,Pulp_A,265.8,281.49,832.76,3.85
2025-03-23,Chemical_B,121.33,115.81,383.35,4.29
2025-03-23,Packaging_C,174.25,163.28,497.09,4.29
2025-03-23,Resin_D,83.78,88.76,299.43,4.91
2025-03-24,Pulp_A,272.0,288.48,839.33,3.02
