date,material,material_demand,forecast,absolute_error
2025-10-20,Pulp_A,210.38,218.66,8.28
2025-10-21,Pulp_A,224.0,228.05,4.05
2025-10-22,Pulp_A,213.5,211.5,2.0
2025-10-23,Pulp_A,173.65,187.39,13.74
2025-10-24,Pulp_A,211.24,200.1,11.14
2025-10-25,Pulp_A,192.4,187.6,4.8
2025-10-26,Pulp_A,219.89,217.52,2.37
2025-10-27,Pulp_A,201.16,195.77,5.39
2025-10-28,Pulp_A,208.78,215.31,6.53
2025-10-29,Pulp_A,179.99,184.84,4.85
2025-10-30,Pulp_A,218.11,208.26,9.85
2025-10-31,Pulp_A,196.04,192.48,3.56
2025-11-01,Pulp_A,195.14,190.67,4.47
2025-11-02,Pulp_A,200.1,206.76,6.66
2025-11-03,Pulp_A,180.64,186.18,5.54
2025-11-04,Pulp_A,203.49,210.84,7.35
2025-11-05,Pulp_A,213.93,212.66,1.27
2025-11-06,Pulp_A,198.26,215.74,17.48
2025-11-07,Pulp_A,220.09,212.35,7.74
2025-11-08,Pulp_A,213.01,206.5,6.51
2025-11-09,Pulp_A,189.29,190.41,1.12
2025-11-10,Pulp_A,229.86,217.77,12.09
2025-11-11,Pulp_A,204.13,195.24,8.89
2025-11-12,Pulp_A,206.14,206.44,0.3
2025-11-13,Pulp_A,219.22,217.57,1.65
2025-11-14,Pulp_A,210.32,221.32,11.0
2025-11-15,Pulp_A,193.1,205.03,11.93
2025-11-16,Pulp_A,195.21,209.4,14.19
2025-11-17,Pulp_A,186.94,193.26,6.32
2025-11-18,Pulp_A,199.43,208.42,8.99
2025-11-19,Pulp_A,236.55,224.68,11.87
2025-11-20,Pulp_A,206.53,191.28,15.25
2025-11-21,Pulp_A,223.48,233.71,10.23
2025-11-22,Pulp_A,192.38,187.68,4.7
2025-11-23,Pulp_A,197.58,208.34,10.76
2025-11-24,Pulp_A,205.92,200.37,5.55
2025-11-25,Pulp_A,212.65,225.08,12.43
2025-11-26,Pulp_A,207.04,207.44,0.4
2025-11-27,Pulp_A,213.48,213.25,0.23
2025-11-28,Pulp_A,231.51,214.64,16.87
2025-11-29,Pulp_A,213.86,224.27,10.41
2025-11-30,Pulp_A,210.67,212.94,2.27
2025-12-01,Pulp_A,222.49,210.28,12.21
2025-12-02,Pulp_A,205.4,210.76,5.36
2025-12-03,Pulp_A,228.81,219.35,9.46
2025-12-04,Pulp_A,218.67,208.06,10.61
2025-12-05,Pulp_A,217.62,208.06,9.56
2025-12-06,Pulp_A,223.07,219.79,3.28
2025-12-07,Pulp_A,189.29,188.47,0.82
2025-12-08,Pulp_A,229.1,225.47,3.63
2025-12-09,Pulp_A,187.93,190.19,2.26
2025-12-10,Pulp_A,213.79,216.04,2.25
2025-12-11,Pulp_A,212.13,221.57,9.44
2025-12-12,Pulp_A,210.0,217.16,7.16
2025-12-13,Pulp_A,188.49,196.08,7.59
2025-12-14,Pulp_A,224.5,229.96,5.46
2025-12-15,Pulp_A,239.01,237.38,1.63
2025-12-16,Pulp_A,224.14,230.41,6.27
2025-12-17,Pulp_A,222.45,208.98,13.47
2025-12-18,Pulp_A,208.43,215.95,7.52
2025-12-19,Pulp_A,226.79,218.41,8.38
2025-12-20,Pulp_A,217.23,223.6,6.37
2025-12-21,Pulp_A,175.0,190.44,15.44
2025-12-22,Pulp_A,235.88,242.14,6.26
2025-12-23,Pulp_A,237.68,241.39,3.71
2025-12-24,Pulp_A,223.52,234.45,10.93
2025-12-25,Pulp_A,235.08,234.73,0.35
2025-12-26,Pulp_A,227.55,228.7,1.15
2025-12-27,Pulp_A,197.12,206.86,9.74
2025-12-28,Pulp_A,208.37,220.96,12.59
2025-12-29,Pulp_A,223.21,220.48,2.73
2025-12-30,Pulp_A,217.27,228.95,11.68
2025-12-31,Pulp_A,214.96,219.08,4.12
